;com;prot
0;Syringaresinol;YP_009725307.1
0;Syringaresinol;K4LC41_9BETC
0;Syringaresinol;PLpro_SARS-CoV-2
0;Syringaresinol;6LU7:A
0;Syringaresinol;6M0J:A
0;Syringaresinol;6LZG:A
0;Syringaresinol;6VSB:A
0;Syringaresinol;6VXX:A
0;Amaranthine;YP_009725307.1
0;Amaranthine;K4LC41_9BETC
0;Amaranthine;PLpro_SARS-CoV-2
0;Amaranthine;6LU7:A
0;Amaranthine;6M0J:A
0;Amaranthine;6LZG:A
0;Amaranthine;6VSB:A
0;Amaranthine;6VXX:A
0;Methylthio;YP_009725307.1
0;Methylthio;K4LC41_9BETC
0;Methylthio;PLpro_SARS-CoV-2
0;Methylthio;6LU7:A
0;Methylthio;6M0J:A
0;Methylthio;6LZG:A
0;Methylthio;6VSB:A
0;Methylthio;6VXX:A
0;arabinopyrano;YP_009725307.1
0;arabinopyrano;K4LC41_9BETC
0;arabinopyrano;PLpro_SARS-CoV-2
0;arabinopyrano;6LU7:A
0;arabinopyrano;6M0J:A
0;arabinopyrano;6LZG:A
0;arabinopyrano;6VSB:A
0;arabinopyrano;6VXX:A
0;Peonidin-3;YP_009725307.1
0;Peonidin-3;K4LC41_9BETC
0;Peonidin-3;PLpro_SARS-CoV-2
0;Peonidin-3;6LU7:A
0;Peonidin-3;6M0J:A
0;Peonidin-3;6LZG:A
0;Peonidin-3;6VSB:A
0;Peonidin-3;6VXX:A
0;Quercetin-3;YP_009725307.1
0;Quercetin-3;K4LC41_9BETC
0;Quercetin-3;PLpro_SARS-CoV-2
0;Quercetin-3;6LU7:A
0;Quercetin-3;6M0J:A
0;Quercetin-3;6LZG:A
0;Quercetin-3;6VSB:A
0;Quercetin-3;6VXX:A
0;Theviridoside;YP_009725307.1
0;Theviridoside;K4LC41_9BETC
0;Theviridoside;PLpro_SARS-CoV-2
0;Theviridoside;6LU7:A
0;Theviridoside;6M0J:A
0;Theviridoside;6LZG:A
0;Theviridoside;6VSB:A
0;Theviridoside;6VXX:A
0;Sinigrin;YP_009725307.1
0;Sinigrin;K4LC41_9BETC
0;Sinigrin;PLpro_SARS-CoV-2
0;Sinigrin;6LU7:A
0;Sinigrin;6M0J:A
0;Sinigrin;6LZG:A
0;Sinigrin;6VSB:A
0;Sinigrin;6VXX:A
0;Caffeoylbeta;YP_009725307.1
0;Caffeoylbeta;K4LC41_9BETC
0;Caffeoylbeta;PLpro_SARS-CoV-2
0;Caffeoylbeta;6LU7:A
0;Caffeoylbeta;6M0J:A
0;Caffeoylbeta;6LZG:A
0;Caffeoylbeta;6VSB:A
0;Caffeoylbeta;6VXX:A
0;Azadirachtin;YP_009725307.1
0;Azadirachtin;K4LC41_9BETC
0;Azadirachtin;PLpro_SARS-CoV-2
0;Azadirachtin;6LU7:A
0;Azadirachtin;6M0J:A
0;Azadirachtin;6LZG:A
0;Azadirachtin;6VSB:A
0;Azadirachtin;6VXX:A
0;Hesperidine;YP_009725307.1
0;Hesperidine;K4LC41_9BETC
0;Hesperidine;PLpro_SARS-CoV-2
0;Hesperidine;6LU7:A
0;Hesperidine;6M0J:A
0;Hesperidine;6LZG:A
0;Hesperidine;6VSB:A
0;Hesperidine;6VXX:A
0;Myricetin-3;YP_009725307.1
0;Myricetin-3;K4LC41_9BETC
0;Myricetin-3;PLpro_SARS-CoV-2
0;Myricetin-3;6LU7:A
0;Myricetin-3;6M0J:A
0;Myricetin-3;6LZG:A
0;Myricetin-3;6VSB:A
0;Myricetin-3;6VXX:A
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;Cyanidin-3;YP_009725307.1
0;Cyanidin-3;K4LC41_9BETC
0;Cyanidin-3;PLpro_SARS-CoV-2
0;Cyanidin-3;6LU7:A
0;Cyanidin-3;6M0J:A
0;Cyanidin-3;6LZG:A
0;Cyanidin-3;6VSB:A
0;Cyanidin-3;6VXX:A
0;Catalpol;YP_009725307.1
0;Catalpol;K4LC41_9BETC
0;Catalpol;PLpro_SARS-CoV-2
0;Catalpol;6LU7:A
0;Catalpol;6M0J:A
0;Catalpol;6LZG:A
0;Catalpol;6VSB:A
0;Catalpol;6VXX:A
0;Beta-glucogallin;YP_009725307.1
0;Beta-glucogallin;K4LC41_9BETC
0;Beta-glucogallin;PLpro_SARS-CoV-2
0;Beta-glucogallin;6LU7:A
0;Beta-glucogallin;6M0J:A
0;Beta-glucogallin;6LZG:A
0;Beta-glucogallin;6VSB:A
0;Beta-glucogallin;6VXX:A
0;Scandoside;YP_009725307.1
